token,label
22,O
-,O
oxacalcitriol,O
suppresses,O
secondary,O
hyperparathyroidism,B
without,O
inducing,O
low,O
bone,O
turnover,O
in,O
dogs,O
with,O
renal,B
failure,I
.,O
BACKGROUND,O
:,O
Calcitriol,O
therapy,O
suppresses,O
serum,O
levels,O
of,O
parathyroid,B
hormone,I
(,O
PTH,B
),O
in,O
patients,O
with,O
renal,B
failure,I
but,O
has,O
several,O
drawbacks,O
",",O
including,O
hypercalcemia,B
and,O
/,O
or,O
marked,O
suppression,O
of,O
bone,O
turnover,O
",",O
which,O
may,O
lead,O
to,O
adynamic,B
bone,I
disease,I
.,O
A,O
new,O
vitamin,O
D,O
analogue,O
",",O
22,O
-,O
oxacalcitriol,O
(,O
OCT,B
),O
",",O
has,O
been,O
shown,O
to,O
have,O
promising,O
characteristics,O
.,O
This,O
study,O
was,O
undertaken,O
to,O
determine,O
the,O
effects,O
of,O
OCT,O
on,O
serum,O
PTH,B
levels,O
and,O
bone,O
turnover,O
in,O
states,O
of,O
normal,O
or,O
impaired,O
renal,O
function,O
.,O
METHODS,O
:,O
Sixty,O
dogs,O
were,O
either,O
nephrectomized,O
(,O
Nx,O
",",O
N,O
=,O
38,O
),O
or,O
sham,O
-,O
operated,O
(,O
Sham,O
",",O
N,O
=,O
22,O
),O
.,O
The,O
animals,O
received,O
supplemental,O
phosphate,B
to,O
enhance,O
PTH,B
secretion,O
.,O
Fourteen,O
weeks,O
after,O
the,O
start,O
of,O
phosphate,B
supplementation,O
",",O
half,O
of,O
the,O
Nx,O
and,O
Sham,O
dogs,O
received,O
doses,O
of,O
OCT,B
(,O
three,O
times,O
per,O
week,O
),O
;,O
the,O
other,O
half,O
were,O
given,O
vehicle,O
for,O
60,O
weeks,O
.,O
Thereafter,O
",",O
the,O
treatment,O
modalities,O
for,O
a,O
subset,O
of,O
animals,O
were,O
crossed,O
over,O
for,O
an,O
additional,O
eight,O
months,O
.,O
Biochemical,O
and,O
hormonal,O
indices,O
of,O
calcium,B
and,O
bone,B
metabolism,I
were,O
measured,O
throughout,O
the,O
study,O
",",O
and,O
bone,B
biopsies,I
were,O
done,O
at,O
baseline,O
",",O
60,O
weeks,O
after,O
OCT,O
or,O
vehicle,O
treatment,O
",",O
and,O
at,O
the,O
end,O
of,O
the,O
crossover,O
period,O
.,O
RESULTS,O
:,O
In,O
Nx,O
dogs,O
",",O
OCT,O
significantly,O
decreased,O
serum,O
PTH,B
levels,I
soon,O
after,O
the,O
induction,O
of,O
renal,B
insufficiency,I
.,O
In,O
long,O
-,O
standing,O
secondary,O
hyperparathyroidism,B
",",O
OCT,O
(,O
0,O
.,O
03,O
microg,O
/,O
kg,O
),O
stabilized,O
serum,O
PTH,B
levels,O
during,O
the,O
first,O
months,O
.,O
Serum,O
PTH,B
levels,O
rose,O
thereafter,O
",",O
but,O
the,O
rise,O
was,O
less,O
pronounced,O
compared,O
with,O
baseline,O
than,O
the,O
rise,O
seen,O
in,O
Nx,O
control,O
.,O
These,O
effects,O
were,O
accompanied,O
by,O
episodes,O
of,O
hypercalcemia,B
and,O
hyperphosphatemia,B
.,O
In,O
animals,O
with,O
normal,O
renal,O
function,O
",",O
OCT,O
induced,O
a,O
transient,O
decrease,O
in,O
serum,O
PTH,B
levels,O
at,O
a,O
dose,O
of,O
0,O
.,O
1,O
microg,O
/,O
kg,O
",",O
which,O
was,O
not,O
sustained,O
with,O
lowering,O
of,O
the,O
doses,O
.,O
In,O
Nx,O
dogs,O
",",O
OCT,O
reversed,O
abnormal,O
bone,B
formation,O
",",O
such,O
as,O
woven,O
osteoid,B
and,O
fibrosis,B
",",O
but,O
did,O
not,O
significantly,O
alter,O
the,O
level,O
of,O
bone,B
turnover,O
.,O
In,O
addition,O
",",O
OCT,O
improved,O
mineralization,O
lag,O
time,O
",",O
(,O
that,O
is,O
",",O
the,O
rate,O
at,O
which,O
osteoid,B
mineralizes,O
),O
in,O
both,O
Nx,O
and,O
Sham,O
dogs,O
.,O
CONCLUSIONS,O
:,O
These,O
results,O
indicate,O
that,O
even,O
though,O
OCT,O
does,O
not,O
completely,O
prevent,O
the,O
occurrence,O
of,O
hypercalcemia,B
in,O
experimental,O
dogs,O
with,O
renal,B
insufficiency,I
",",O
it,O
may,O
be,O
of,O
use,O
in,O
the,O
management,O
of,O
secondary,O
hyperparathyroidism,B
because,O
it,O
does,O
not,O
induce,O
low,O
bone,B
turnover,I
and,O
",",O
therefore,O
",",O
does,O
not,O
increase,O
the,O
risk,O
of,O
adynamic,B
bone,I
disease,I
.,O
Hypotension,B
",",O
bradycardia,B
",",O
and,O
asystole,B
after,O
high,O
-,O
dose,O
intravenous,O
methylprednisolone,O
in,O
a,O
monitored,O
patient,O
.,O
We,O
report,O
a,O
case,O
of,O
hypotension,B
",",O
bradycardia,B
",",O
and,O
asystole,B
after,O
intravenous,O
administration,O
of,O
high,O
-,O
dose,O
methylprednisolone,O
in,O
a,O
73,O
-,O
year,O
-,O
old,O
patient,O
who,O
underwent,O
electrocardiographic,O
(,O
ECG,O
),O
monitoring,O
throughout,O
the,O
episode,O
.,O
There,O
was,O
a,O
history,O
of,O
ischemic,B
cardiac,I
disease,I
9,O
years,O
earlier,O
.,O
The,O
patient,O
was,O
admitted,O
with,O
a,O
pulmonary,B
-,I
renal,I
syndrome,I
with,O
hemoptysis,O
",",O
rapidly,O
progressive,O
renal,B
failure,I
",",O
and,O
hypoxemia,O
that,O
required,O
mechanical,O
ventilation,O
in,O
the,O
intensive,O
care,O
unit,O
.,O
After,O
receiving,O
advanced,O
cardiopulmonary,B
