token,label,label_gpt
22,B,O
-,I,O
oxacalcitriol,I,B
suppresses,O,O
secondary,O,O
hyperparathyroidism,O,O
without,O,O
inducing,O,O
low,O,O
bone,O,O
turnover,O,O
in,O,O
dogs,O,O
with,O,O
renal,O,O
failure,O,O
.,O,O
BACKGROUND,O,O
:,O,O
Calcitriol,B,B
therapy,O,O
suppresses,O,O
serum,O,O
levels,O,O
of,O,O
parathyroid,O,O
hormone,O,O
(,O,O
PTH,O,B
),O,O
in,O,O
patients,O,O
with,O,O
renal,O,O
failure,O,O
but,O,O
has,O,O
several,O,O
drawbacks,O,O
",",O,O
including,O,O
hypercalcemia,O,B
and,O,O
/,O,O
or,O,O
marked,O,O
suppression,O,O
of,O,O
bone,O,O
turnover,O,O
",",O,O
which,O,O
may,O,O
lead,O,O
to,O,O
adynamic,O,O
bone,O,O
disease,O,O
.,O,O
A,O,O
new,O,O
vitamin,B,B
D,I,I
analogue,O,I
",",O,O
22,B,O
-,I,O
oxacalcitriol,I,B
(,O,O
OCT,B,I
),O,O
",",O,O
has,O,O
been,O,O
shown,O,O
to,O,O
have,O,O
promising,O,O
characteristics,O,O
.,O,O
This,O,O
study,O,O
was,O,O
undertaken,O,O
to,O,O
determine,O,O
the,O,O
effects,O,O
of,O,O
OCT,B,I
on,O,O
serum,O,O
PTH,O,B
levels,O,O
and,O,O
bone,O,O
turnover,O,O
in,O,O
states,O,O
of,O,O
normal,O,O
or,O,O
impaired,O,O
renal,O,O
function,O,O
.,O,O
:,O,O
Sixty,O,O
dogs,O,O
were,O,O
either,O,O
nephrectomized,O,O
(,O,O
Nx,O,O
",",O,O
N,O,O
=,O,O
38,O,O
),O,O
or,O,O
sham,O,O
-,O,O
operated,O,O
(,O,O
Sham,O,O
",",O,O
N,O,O
=,O,O
22,O,O
),O,O
.,O,O
The,O,O
animals,O,O
received,O,O
supplemental,O,O
phosphate,B,B
to,O,O
enhance,O,O
PTH,O,B
secretion,O,O
.,O,O
Fourteen,O,O
weeks,O,O
after,O,O
the,O,O
start,O,O
of,O,O
phosphate,B,B
supplementation,O,O
",",O,O
half,O,O
of,O,O
the,O,O
Nx,O,O
and,O,O
Sham,O,O
dogs,O,O
received,O,O
doses,O,O
of,O,O
OCT,B,B
(,O,O
three,O,O
times,O,O
per,O,O
week,O,O
),O,O
;,O,O
the,O,O
other,O,O
half,O,O
were,O,O
given,O,O
vehicle,O,O
for,O,O
60,O,O
weeks,O,O
.,O,O
Thereafter,O,O
",",O,O
the,O,O
treatment,O,O
modalities,O,O
for,O,O
a,O,O
subset,O,O
of,O,O
animals,O,O
were,O,O
crossed,O,O
over,O,O
for,O,O
an,O,O
additional,O,O
eight,O,O
months,O,O
.,O,O
Biochemical,O,O
and,O,O
hormonal,O,O
indices,O,O
of,O,O
calcium,B,B
and,O,O
bone,O,O
metabolism,O,O
were,O,O
measured,O,O
throughout,O,O
the,O,O
study,O,O
",",O,O
and,O,O
bone,O,O
biopsies,O,O
were,O,O
done,O,O
at,O,O
baseline,O,O
",",O,O
60,O,O
weeks,O,O
after,O,O
OCT,B,B
or,O,O
vehicle,O,O
treatment,O,O
",",O,O
and,O,O
at,O,O
the,O,O
end,O,O
of,O,O
the,O,O
crossover,O,O
period,O,O
.,O,O
RESULTS,O,O
:,O,O
In,O,O
Nx,O,O
dogs,O,O
",",O,O
OCT,B,B
significantly,O,O
decreased,O,O
serum,O,O
PTH,O,B
levels,O,O
soon,O,O
after,O,O
the,O,O
induction,O,O
of,O,O
renal,O,O
insufficiency,O,O
.,O,O
In,O,O
long,O,O
-,O,O
standing,O,O
secondary,O,O
hyperparathyroidism,O,O
",",O,O
OCT,B,B
(,O,O
0,O,O
.,O,O
microg,O,O
/,O,O
kg,O,O
),O,O
stabilized,O,O
serum,O,O
PTH,O,B
levels,O,O
during,O,O
the,O,O
first,O,O
months,O,O
.,O,O
Serum,O,O
PTH,O,B
levels,O,O
rose,O,O
thereafter,O,O
",",O,O
but,O,O
the,O,O
rise,O,O
was,O,O
less,O,O
pronounced,O,O
compared,O,O
with,O,O
baseline,O,O
than,O,O
the,O,O
rise,O,O
seen,O,O
in,O,O
Nx,O,O
control,O,O
.,O,O
These,O,O
effects,O,O
were,O,O
accompanied,O,O
by,O,O
episodes,O,O
of,O,O
hypercalcemia,O,B
and,O,O
hyperphosphatemia,O,B
.,O,O
In,O,O
animals,O,O
with,O,O
normal,O,O
renal,O,O
function,O,O
",",O,O
OCT,B,B
induced,O,O
a,O,O
transient,O,O
decrease,O,O
in,O,O
serum,O,O
PTH,O,B
levels,O,O
at,O,O
a,O,O
dose,O,O
of,O,O
0,O,O
.,O,O
1,O,O
microg,O,O
/,O,O
kg,O,O
",",O,O
which,O,O
was,O,O
not,O,O
sustained,O,O
with,O,O
lowering,O,O
of,O,O
the,O,O
doses,O,O
.,O,O
In,O,O
Nx,O,O
dogs,O,O
",",O,O
OCT,B,B
reversed,O,O
abnormal,O,O
bone,O,O
formation,O,O
",",O,O
such,O,O
as,O,O
woven,O,O
osteoid,O,B
and,O,O
fibrosis,O,O
",",O,O
but,O,O
did,O,O
not,O,O
