token,label,label_gpt
22,O,O
-,O,O
oxacalcitriol,O,O
suppresses,O,O
secondary,B,O
hyperparathyroidism,I,B
without,O,O
inducing,O,O
low,B,O
bone,I,O
turnover,I,O
in,O,O
dogs,O,O
with,O,O
renal,B,B
failure,I,I
.,O,O
BACKGROUND,O,O
:,O,O
Calcitriol,O,O
therapy,O,O
suppresses,O,O
serum,O,O
levels,O,O
of,O,O
parathyroid,O,B
hormone,O,I
(,O,O
PTH,O,O
),O,O
in,O,O
patients,O,O
with,O,O
renal,B,B
failure,I,I
but,O,O
has,O,O
several,O,O
drawbacks,O,O
",",O,O
including,O,O
hypercalcemia,B,B
and,O,O
/,O,O
or,O,O
marked,O,O
suppression,B,O
of,I,O
bone,I,O
turnover,I,O
",",O,O
which,O,O
may,O,O
lead,O,O
to,O,O
adynamic,B,O
bone,I,O
disease,I,O
.,O,O
A,O,O
new,O,O
vitamin,O,B
D,O,I
analogue,O,O
",",O,O
22,O,O
-,O,O
oxacalcitriol,O,O
(,O,O
OCT,O,O
),O,O
",",O,O
has,O,O
been,O,O
shown,O,O
to,O,O
have,O,O
promising,O,O
characteristics,O,O
.,O,O
This,O,O
study,O,O
was,O,O
undertaken,O,O
to,O,O
determine,O,O
the,O,O
effects,O,O
of,O,O
OCT,O,O
on,O,O
serum,O,O
PTH,O,B
levels,O,O
and,O,O
bone,O,O
turnover,O,O
in,O,O
states,O,O
of,O,O
normal,O,O
or,O,O
impaired,B,O
renal,I,B
function,I,I
.,O,O
METHODS,O,O
:,O,O
Sixty,O,O
dogs,O,O
were,O,O
either,O,O
nephrectomized,O,O
(,O,O
Nx,O,O
",",O,O
N,O,O
=,O,O
38,O,O
),O,O
or,O,O
sham,O,O
-,O,O
operated,O,O
(,O,O
Sham,O,O
",",O,O
N,O,O
=,O,O
22,O,O
),O,O
.,O,O
The,O,O
animals,O,O
received,O,O
supplemental,O,O
phosphate,O,O
to,O,O
enhance,O,O
PTH,O,B
secretion,O,O
.,O,O
Fourteen,O,O
weeks,O,O
after,O,O
the,O,O
start,O,O
of,O,O
phosphate,O,O
supplementation,O,O
",",O,O
half,O,O
of,O,O
the,O,O
Nx,O,O
and,O,O
Sham,O,O
dogs,O,O
received,O,O
doses,O,O
of,O,O
OCT,O,B
(,O,O
three,O,O
times,O,O
per,O,O
week,O,O
),O,O
;,O,O
the,O,O
other,O,O
half,O,O
were,O,O
given,O,O
vehicle,O,O
for,O,O
60,O,O
weeks,O,O
.,O,O
Thereafter,O,O
",",O,O
the,O,O
treatment,O,O
modalities,O,O
for,O,O
a,O,O
subset,O,O
of,O,O
animals,O,O
were,O,O
crossed,O,O
over,O,O
for,O,O
an,O,O
additional,O,O
eight,O,O
months,O,O
.,O,O
Biochemical,O,O
and,O,O
hormonal,O,O
indices,O,O
of,O,O
calcium,O,B
and,O,I
bone,O,B
metabolism,O,I
were,O,O
measured,O,O
throughout,O,O
the,O,O
study,O,O
",",O,O
and,O,O
bone,O,B
biopsies,O,I
were,O,O
done,O,O
at,O,O
baseline,O,O
",",O,O
60,O,O
weeks,O,O
after,O,O
OCT,O,O
or,O,O
vehicle,O,O
treatment,O,O
",",O,O
and,O,O
at,O,O
the,O,O
end,O,O
of,O,O
the,O,O
crossover,O,O
period,O,O
.,O,O
RESULTS,O,O
:,O,O
In,O,O
Nx,O,O
dogs,O,O
",",O,O
OCT,O,O
significantly,O,O
decreased,O,O
serum,O,O
PTH,O,B
levels,O,O
soon,O,O
after,O,O
the,O,O
induction,O,O
of,O,O
renal,B,B
insufficiency,I,I
.,O,O
In,O,O
long,O,O
-,O,O
standing,O,O
secondary,B,O
hyperparathyroidism,I,B
",",O,O
OCT,O,O
(,O,O
0,O,O
.,O,O
microg,O,O
/,O,O
kg,O,O
),O,O
stabilized,O,O
serum,O,O
PTH,O,B
levels,O,O
during,O,O
the,O,O
first,O,O
months,O,O
.,O,O
Serum,O,O
PTH,O,B
levels,O,O
rose,O,O
thereafter,O,O
",",O,O
but,O,O
the,O,O
rise,O,O
was,O,O
less,O,O
pronounced,O,O
compared,O,O
with,O,O
baseline,O,O
than,O,O
the,O,O
rise,O,O
seen,O,O
in,O,O
Nx,O,O
control,O,O
.,O,O
These,O,O
effects,O,O
were,O,O
accompanied,O,O
by,O,O
episodes,O,O
of,O,O
hypercalcemia,B,B
and,O,O
hyperphosphatemia,B,B
.,O,O
In,O,O
animals,O,O
with,O,O
normal,O,O
renal,O,O
function,O,O
",",O,O
OCT,O,O
induced,O,O
a,O,O
transient,O,O
decrease,O,O
in,O,O
serum,O,O
PTH,O,B
levels,O,I
at,O,O
a,O,O
dose,O,O
of,O,O
0,O,O
.,O,O
1,O,O
microg,O,O
/,O,O
kg,O,O
",",O,O
which,O,O
was,O,O
not,O,O
sustained,O,O
with,O,O
lowering,O,O
of,O,O
the,O,O
doses,O,O
.,O,O
In,O,O
Nx,O,O
dogs,O,O
",",O,O
OCT,O,O
reversed,O,O
abnormal,O,O
bone,O,B
formation,O,I
",",O,O
such,O,O
as,O,O
woven,B,O
osteoid,I,B
and,O,O
fibrosis,B,B
",",O,O
but,O,O
did,O,O
not,O,O
significantly,O,O
alter,O,O
the,O,O
level,O,O
of,O,O
bone,O,B
turnover,O,I
.,O,O
In,O,O
addition,O,O
",",O,O
OCT,O,O
improved,O,O
mineralization,O,O
lag,O,O
time,O,O
",",O,O
(,O,O
that,O,O
is,O,O
",",O,O
the,O,O
rate,O,O
at,O,O
which,O,O
osteoid,O,O
mineralizes,O,O
),O,O
in,O,O
both,O,O
Nx,O,O
and,O,O
Sham,O,O
dogs,O,O
.,O,O
CONCLUSIONS,O,O
:,O,O
These,O,O
results,O,O
indicate,O,O
that,O,O
even,O,O
though,O,O
OCT,O,O
does,O,O
not,O,O
completely,O,O
prevent,O,O
the,O,O
occurrence,O,O
of,O,O
hypercalcemia,B,B
in,O,O
experimental,O,O
dogs,O,O
with,O,O
renal,B,B
insufficiency,I,I
",",O,O
it,O,O
may,O,O
be,O,O
of,O,O
use,O,O
in,O,O
the,O,O
management,O,O
of,O,O
secondary,B,O
hyperparathyroidism,I,B
because,O,O
it,O,O
does,O,O
not,O,O
induce,O,O
low,B,O
bone,I,B
turnover,I,I
and,O,O
",",O,O
therefore,O,O
",",O,O
does,O,O
not,O,O
increase,O,O
the,O,O
risk,O,O
of,O,O
adynamic,B,B
bone,I,I
disease,I,I
.,O,O
Hypotension,B,B
",",O,O
bradycardia,B,B
",",O,O
and,O,O
asystole,B,B
after,O,O
high,O,O
-,O,O
dose,O,O
intravenous,O,O
methylprednisolone,O,O
in,O,O
a,O,O
monitored,O,O
patient,O,O
.,O,O
We,O,O
report,O,O
