token,label,label_gpt
Our,O,O
data,O,O
suggest,O,O
that,O,O
lipoxygenase,B,B
metabolites,I,O
activate,O,O
ROI,O,B
formation,O,O
which,O,O
then,O,O
induce,O,O
IL,B,B
-,I,I
2,I,I
expression,O,O
via,O,O
NF,B,B
-,I,I
kappa,I,I
B,I,I
activation,O,O
.,O,O
Human,O,O
immunodeficiency,O,O
virus,O,O
type,O,O
2,O,B
(,O,O
HIV,O,B
-,O,I
2,O,I
),O,O
",",O,O
like,O,O
HIV,O,B
-,O,I
1,O,I
",",O,O
causes,O,O
AIDS,O,O
and,O,O
is,O,O
associated,O,O
with,O,O
AIDS,O,O
cases,O,O
primarily,O,O
in,O,O
West,O,O
Africa,O,O
.,O,O
This,O,O
is,O,O
the,O,O
first,O,O
description,O,O
of,O,O
an,O,O
HIV,B,B
-,I,I
2,I,I
enhancer,I,O
element,I,O
which,O,O
displays,O,O
such,O,O
monocyte,O,O
specificity,O,O
",",O,O
and,O,O
no,O,O
comparable,O,O
enhancer,B,O
element,I,O
has,O,O
been,O,O
clearly,O,O
defined,O,O
for,O,O
HIV,O,B
-,O,I
1,O,I
.,O,O
While,O,O
a,O,O
nuclear,B,O
factor,I,O
(,O,O
s,O,O
),O,O
from,O,O
both,O,O
peripheral,O,O
blood,O,O
monocytes,O,B
and,O,O
T,O,B
cells,O,I
binds,O,O
the,O,O
peri,B,O
-,I,O
kappa,I,O
B,I,O
site,I,O
",",O,O
electrophoretic,O,O
mobility,O,O
shift,O,O
assays,O,O
suggest,O,O
that,O,O
either,O,O
a,O,O
different,O,O
protein,O,O
binds,O,O
to,O,O
this,O,O
site,O,O
in,O,O
monocytes,O,B
versus,O,O
T,O,B
cells,O,I
or,O,O
that,O,O
the,O,O
protein,O,O
recognizing,O,O
this,O,O
enhancer,B,O
element,I,O
undergoes,O,O
differential,O,O
modification,O,O
in,O,O
monocytes,O,B
and,O,O
T,O,B
cells,O,I
",",O,O
thus,O,O
supporting,O,O
the,O,O
transfection,O,O
data,O,O
.,O,O
Understanding,O,O
the,O,O
monocyte,O,B
-,O,O
specific,O,O
function,O,O
of,O,O
the,O,O
peri,B,O
-,I,O
kappa,I,O
B,I,O
factor,I,O
may,O,O
ultimately,O,O
provide,O,O
insight,O,O
into,O,O
the,O,O
different,O,O
role,O,O
monocytes,O,B
and,O,O
T,O,B
cells,O,I
play,O,O
in,O,O
HIV,O,O
pathogenesis,O,O
.,O,O
Distinct,O,O
signaling,O,O
properties,O,O
identify,O,O
functionally,O,O
different,O,O
CD4,B,B
epitopes,I,O
.,O,O
Whereas,O,O
different,O,O
anti,B,O
-,I,O
CD4,I,B
mAb,I,I
or,O,O
HIV,B,O
-,I,O
1,I,O
gp120,I,O
could,O,O
all,O,O
trigger,O,O
activation,O,O
of,O,O
the,O,O
protein,B,B
tyrosine,I,I
kinases,I,I
p56lck,B,B
and,O,O
p59fyn,B,B
and,O,O
phosphorylation,O,O
of,O,O
the,O,O
Shc,B,B
adaptor,I,I
protein,I,I
",",O,O
which,O,O
mediates,O,O
signals,O,O
to,O,O
Ras,B,B
",",O,O
they,O,O
differed,O,O
significantly,O,O
in,O,O
their,O,O
ability,O,O
to,O,O
activate,O,O
NF,B,B
-,I,I
AT,I,I
.,O,O
To,O,O
address,O,O
potential,O,O
mechanisms,O,O
by,O,O
which,O,O
estrogens,O,B
suppress,O,O
erythropoiesis,O,O
",",O,O
we,O,O
have,O,O
examined,O,O
their,O,O
effects,O,O
on,O,O
GATA,B,B
-,I,I
1,I,I
",",O,O
an,O,O
erythroid,B,O
transcription,I,O
factor,I,O
that,O,O
participates,O,O
in,O,O
the,O,O
regulation,O,O
of,O,O
the,O,O
majority,O,O
of,O,O
erythroid,B,O
cell,I,O
-,I,O
specific,I,O
genes,I,O
and,O,O
is,O,O
necessary,O,O
for,O,O
full,O,O
maturation,O,O
of,O,O
erythrocytes,O,O
.,O,O
ER,B,B
-,O,I
mediated,O,I
repression,O,I
of,O,I
GATA,B,I
-,I,I
1,I,I
activity,O,O
occurs,O,O
on,O,O
an,O,O
artificial,B,O
promoter,I,O
containing,O,O
a,O,O
single,O,O
GATA,B,B
-,I,I
binding,I,I
site,I,I
",",O,O
as,O,O
well,O,O
as,O,O
in,O,O
the,O,O
context,O,O
of,O,O
an,O,O
intact,B,O
promoter,I,O
which,O,O
is,O,O
normally,O,O
regulated,O,O
by,O,O
GATA,B,B
-,I,I
1,I,I
.,O,O
In,O,O
coimmunoprecipitatio,O,O
experiments,O,O
using,O,O
transfected,O,O
COS,O,B-cell_line
cells,O,I-cell_line
",",O,O
GATA,B,B-protein
-,I,I-protein
1,I,I-protein
and,O,O
ER,B,B-protein
associate,O,O
in,O,O
a,O,O
