token,label,label_gpt
BRCA1,O,B
is,O,O
secreted,O,O
and,O,O
exhibits,O,O
properties,O,O
of,O,O
a,O,O
granin,O,O
.,O,O
Germline,O,O
mutations,O,O
in,O,O
BRCA1,O,B
are,O,O
responsible,O,O
for,O,O
most,O,O
cases,O,O
of,O,O
inherited,B,O
breast,I,B
and,I,O
ovarian,I,B
cancer,I,I
.,O,O
However,O,O
",",O,O
the,O,O
function,O,O
of,O,O
the,O,O
BRCA1,O,B
protein,O,O
has,O,O
remained,O,O
elusive,O,O
.,O,O
We,O,O
now,O,O
show,O,O
that,O,O
BRCA1,O,B
encodes,O,O
a,O,O
190,O,O
-,O,O
kD,O,O
protein,O,O
with,O,O
sequence,O,O
homology,O,O
and,O,O
biochemical,O,O
analogy,O,O
to,O,O
the,O,O
granin,O,O
protein,O,O
family,O,O
.,O,O
Interestingly,O,O
",",O,O
BRCA2,O,B
also,O,O
includes,O,O
a,O,O
motif,O,O
similar,O,O
to,O,O
the,O,O
granin,O,O
consensus,O,O
at,O,O
the,O,O
C,O,O
terminus,O,O
of,O,O
the,O,O
protein,O,O
.,O,O
Both,O,O
BRCA1,O,B
and,O,O
the,O,O
granins,O,O
localize,O,O
to,O,O
secretory,O,O
vesicles,O,O
",",O,O
are,O,O
secreted,O,O
by,O,O
a,O,O
regulated,O,O
pathway,O,O
",",O,O
are,O,O
post,O,O
-,O,O
translationally,O,O
glycosylated,O,O
and,O,O
are,O,O
responsive,O,O
to,O,O
hormones,O,O
.,O,O
As,O,O
a,O,O
regulated,O,O
secretory,O,O
protein,O,O
",",O,O
BRCA1,O,B
appears,O,O
to,O,O
function,O,O
by,O,O
a,O,O
mechanism,O,O
not,O,O
previously,O,O
described,O,O
for,O,O
tumour,B,O
suppressor,O,O
gene,O,O
products,O,O
.,O,O
.,O,O
Ovarian,B,B
cancer,I,I
risk,O,O
in,O,O
BRCA1,O,O
carriers,O,O
is,O,O
modified,O,O
by,O,O
the,O,O
HRAS1,O,B
variable,O,I
number,O,I
of,O,I
tandem,O,I
repeat,O,I
(,O,O
VNTR,O,O
),O,O
locus,O,O
.,O,O
Women,O,O
who,O,O
carry,O,O
a,O,O
mutation,O,O
in,O,O
the,O,O
BRCA1,O,O
gene,O,O
(,O,O
on,O,O
chromosome,O,O
17q21,O,O
),O,O
",",O,O
have,O,O
an,O,O
80,O,O
%,O,O
risk,O,O
of,O,O
breast,B,B
cancer,I,I
and,O,O
a,O,O
40,O,O
%,O,O
risk,O,O
of,O,O
ovarian,B,B
cancer,I,I
by,O,O
the,O,O
age,O,O
of,O,O
70,O,O
(,O,O
ref,O,O
.,O,O
1,O,O
),O,O
.,O,O
The,O,O
variable,O,O
penetrance,O,O
of,O,O
BRCA1,O,O
suggests,O,O
that,O,O
other,O,O
genetic,O,O
and,O,O
non,O,O
-,O,O
genetic,O,O
factors,O,O
play,O,O
a,O,O
role,O,O
in,O,O
tumourigenesis,O,O
in,O,O
these,O,O
individuals,O,O
.,O,O
The,O,O
HRAS1,O,B
variable,O,I
number,O,I
of,O,I
tandem,O,I
repeats,O,I
(,O,O
VNTR,O,O
),O,O
polymorphism,O,O
",",O,O
located,O,O
1,O,O
kilobase,O,O
(,O,O
kb,O,O
),O,O
downstream,O,O
of,O,O
the,O,O
HRAS1,O,B
proto,O,I
-,O,I
oncogene,O,I
(,O,O
chromosome,O,O
11p15,O,O
.,O,O
5,O,O
),O,O
is,O,O
one,O,O
possible,O,O
genetic,O,O
modifier,O,O
of,O,O
cancer,B,B
penetrance,O,I
.,O,O
Individuals,O,O
who,O,O
have,O,O
rare,O,O
alleles,O,O
of,O,O
the,O,O
VNTR,O,O
have,O,O
an,O,O
increased,O,O
risk,O,O
of,O,O
certain,O,O
types,O,O
of,O,O
cancers,B,B
",",O,O
including,O,O
breast,B,B
cancer,I,I
(,O,O
2,O,O
-,O,O
4,O,O
),O,O
.,O,O
To,O,O
investigate,O,O
whether,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,O
increases,O,O
susceptibility,O,O
to,O,O
hereditary,B,O
breast,I,B
and,I,O
ovarian,I,B
cancer,I,I
",",O,O
we,O,O
have,O,O
typed,O,O
a,O,O
panel,O,O
of,O,O
307,O,O
female,O,O
BRCA1,O,O
carriers,O,O
at,O,O
this,O,O
locus,O,O
using,O,O
a,O,O
PCR,O,O
-,O,O
based,O,O
technique,O,O
.,O,O
The,O,O
risk,O,O
for,O,O
ovarian,B,B
cancer,I,I
was,O,O
2,O,O
.,O,O
11,O,O
times,O,O
greater,O,O
for,O,O
BRCA1,O,O
carriers,O,O
harbouring,O,O
one,O,O
or,O,O
two,O,O
rare,O,O
HRAS1,O,B
alleles,O,O
",",O,O
compared,O,O
to,O,O
carriers,O,O
with,O,O
only,O,O
common,O,O
alleles,O,O
(,O,O
P,O,O
=,O,O
0,O,O
.,O,O
),O,O
.,O,O
The,O,O
magnitude,O,O
of,O,O
the,O,O
relative,O,O
risk,O,O
associated,O,O
with,O,O
a,O,O
rare,O,O
HRAS1,O,B
allele,O,O
was,O,O
not,O,O
altered,O,O
by,O,O
adjusting,O,O
for,O,O
the,O,O
other,O,O
known,O,O
risk,O,O
factors,O,O
for,O,O
hereditary,B,O
ovarian,I,O
cancer,I,O
(,O,O
5,O,O
),O,O
.,O,O
Susceptibility,O,O
to,O,O
breast,B,B
cancer,I,I
did,O,O
not,O,O
appear,O,O
to,O,O
be,O,O
affected,O,O
by,O,O
the,O,O
presence,O,O
of,O,O
rare,O,O
HRAS1,O,B
alleles,O,I
.,O,O
This,O,O
study,O,O
is,O,O
the,O,O
first,O,O
to,O,O
show,O,O
the,O,O
effect,O,O
of,O,O
a,O,O
modifying,O,O
gene,O,O
on,O,O
the,O,O
penetrance,O,O
of,O,O
an,O,O
inherited,B,O
cancer,I,O
syndrome,I,O
A,O,O
novel,O,O
homeodomain,O,O
-,O,O
encoding,O,O
gene,O,O
is,O,O
associated,O,O
with,O,O
a,O,O
large,O,O
CpG,O,O
island,O,O
interrupted,O,O
by,O,O
the,O,O
myotonic,B,O
dystrophy,I,O
unstable,O,O
(,O,O
CTG,O,O
),O,O
n,O,O
repeat,O,O
.,O,O
Myotonic,B,B
dystrophy,I,I
(,O,O
DM,B,B
),O,O
is,O,O
associated,O,O
with,O,O
a,O,O
(,O,O
CTG,O,B
),O,O
n,O,O
trinucleotide,O,O
repeat,O,O
expansion,O,O
in,O,O
the,O,O
3,O,O
-,O,O
untranslated,O,O
region,O,O
of,O,O
a,O,O
protein,O,O
kinase,O,O
-,O,O
encoding,O,O
gene,O,O
",",O,O
DMPK,O,B
",",O,O
which,O,O
maps,O,O
to,O,O
chromosome,O,O
19q13,O,O
.,O,O
3,O,O
Characterisation,O,O
of,O,O
the,O,O
expression,O,O
of,O,O
this,O,O
gene,O,O
in,O,O
patient,O,O
tissues,O,O
has,O,O
thus,O,O
far,O,O
generated,O,O
conflicting,O,O
data,O,O
on,O,O
alterations,O,O
in,O,O
the,O,O
steady,O,O
state,O,O
levels,O,O
of,O,O
DMPK,O,B
mRNA,O,I
",",O,O
and,O,O
on,O,O
the,O,O
final,O,O
DMPK,O,B
protein,O,I
levels,O,I
in,O,O
the,O,O
presence,O,O
of,O,O
the,O,O
expansion,O,O
.,O,O
The,O,O
DM,B,O
region,O,O
of,O,O
chromosome,O,O
19,O,O
is,O,O
gene,O,B
rich,O,O
",",O,O
and,O,O
it,O,O
is,O,O
possible,O,O
that,O,O
the,O,O
repeat,O,O
expansion,O,O
may,O,O
lead,O,O
to,O,O
dysfunction,O,O
of,O,O
a,O,O
number,O,O
of,O,O
transcription,O,O
units,O,O
in,O,O
the,O,O
vicinity,O,O
",",O,O
perhaps,O,O
as,O,O
a,O,O
consequence,O,O
of,O,O
chromatin,O,O
disruption,O,O
.,O,O
We,O,O
have,O,O
searched,O,O
for,O,O
genes,O,B
associated,O,O
with,O,O
a,O,O
CpG,O,O
island,O,O
at,O,O
the,O,O
3,O,O
end,O,O
of,O,O
DMPK,O,O
.,O,O
Sequencing,O,O
of,O,O
this,O,O
region,O,O
shows,O,O
that,O,O
the,O,O
island,O,O
extends,O,O
over,O,O
3,O,O
.,O,O
5,O,O
kb,O,O
and,O,O
is,O,O
interrupted,O,O
by,O,O
the,O,O
(,O,O
CTG,O,B
),O,O
n,O,O
repeat,O,O
.,O,O
Comparison,O,O
of,O,O
genomic,O,O
sequences,O,O
downstream,O,O
(,O,O
centromeric,O,O
),O,O
of,O,O
the,O,O
repeat,O,O
in,O,O
human,O,O
and,O,O
mouse,O,O
identified,O,O
regions,O,O
of,O,O
significant,O,O
homology,O,O
.,O,O
These,O,O
correspond,O,O
to,O,O
exons,O,O
of,O,O
a,O,O
gene,O,B
predicted,O,O
to,O,O
encode,O,O
a,O,O
homeodomain,O,O
protein,O,O
.,O,O
RT,O,O
-,O,O
PCR,O,O
analysis,O,O
shows,O,O
that,O,O
this,O,O
gene,O,B
",",O,O
which,O,O
we,O,O
have,O,O
called,O,O
DM,B,B
locus,O,I
-,O,I
associated,O,I
homeodomain,O,I
protein,O,I
(,O,O
DMAHP,O,B
),O,O
",",O,O
is,O,O
expressed,O,O
in,O,O
a,O,O
number,O,O
of,O,O
human,O,O
tissues,O,O
",",O,O
including,O,O
skeletal,O,O
muscle,O,O
",",O,O
heart,O,O
and,O,O
brain,O,O
.,O,O
Germline,O,O
mutations,O,O
in,O,O
the,O,O
RB1,O,B
gene,O,I
in,O,O
patients,O,O
with,O,O
hereditary,B,O
retinoblastoma,I,O
.,O,O
We,O,O
have,O,O
analyzed,O,O
the,O,O
27,O,O
exons,O,O
and,O,O
the,O,O
promoter,O,O
region,O,O
of,O,O
the,O,O
RB1,O,B
gene,O,I
in,O,O
familial,B,O
or,I,O
sporadic,I,O
bilateral,I,O
retinoblastoma,I,O
by,O,O
using,O,O
single,O,O
-,O,O
strand,O,O
conformation,O,O
polymorphism,O,O
analysis,O,O
.,O,O
For,O,O
improvement,O,O
over,O,O
previous,O,O
studies,O,O
",",O,O
a,O,O
new,O,O
set,O,O
of,O,O
primers,O,O
has,O,O
been,O,O
designed,O,O
",",O,O
which,O,O
allow,O,O
for,O,O
amplification,O,O
of,O,O
the,O,O
coding,O,O
and,O,O
splicing,O,O
sequences,O,O
only,O,O
.,O,O
The,O,O
positioning,O,O
of,O,O
the,O,O
polymerase,O,O
chain,O,O
reaction,O,O
(,O,O
PCR,O,O
),O,O
primers,O,O
was,O,O
such,O,O
that,O,O
the,O,O
resulting,O,O
PCR,O,O
products,O,O
were,O,O
of,O,O
different,O,O
sizes,O,O
",",O,O
which,O,O
enabled,O,O
us,O,O
to,O,O
analyze,O,O
two,O,O
different,O,O
exons,O,O
simultaneously,O,O
and,O,O
still,O,O
distinguish,O,O
between,O,O
the,O,O
banding,O,O
profiles,O,O
for,O,O
both,O,O
(,O,O
biplex,O,O
analysis,O,O
),O,O
.,O,O
By,O,O
using,O,O
this,O,O
approach,O,O
",",O,O
we,O,O
were,O,O
able,O,O
to,O,O
identify,O,O
mutation,O,O
in,O,O
22,O,O
new,O,O
patients,O,O
",",O,O
but,O,O
the,O,O
overall,O,O
efficiency,O,O
of,O,O
the,O,O
procedure,O,O
when,O,O
we,O,O
used,O,O
a,O,O
single,O,O
-,O,O
pass,O,O
regimen,O,O
was,O,O
only,O,O
48,O,O
%,O,O
.,O,O
The,O,O
mutations,O,O
were,O,O
small,O,O
insertions,O,O
and,O,O
deletions,O,O
and,O,O
point,O,O
mutations,O,O
in,O,O
roughly,O,O
equal,O,O
proportions,O,O
.,O,O
Type,B,O
II,I,O
human,I,O
complement,I,O
C2,I,B
deficiency,I,I
.,O,O
Allele,O,O
-,O,O
specific,O,O
amino,O,O
acid,O,O
substitutions,O,O
(,O,O
Ser189,O,O
-,O,O
-,O,O
>,O,O
Phe,O,O
;,O,O
Gly444,O,O
-,O,O
-,O,O
>,O,O
Arg,O,O
),O,O
cause,O,O
impaired,O,O
C2,O,B
secretion,O,I
.,O,O
Type,B,O
II,I,O
complement,I,O
protein,I,O
C2,I,B
deficiency,I,I
is,O,O
characterized,O,O
by,O,O
a,O,O
selective,O,O
block,O,O
in,O,O
C2,O,B
secretion,O,I
.,O,O
The,O,O
Type,O,B
II,O,I
C2,O,I
allele,O,I
(,O,O
C2Q0,O,B
),O,O
is,O,O
linked,O,O
to,O,O
two,O,O
major,O,O
histocompatibility,O,O
haplotypes,O,O
(,O,O
MHC,O,B
),O,O
that,O,O
differ,O,O
from,O,O
the,O,O
MHC,O,O
of,O,O
the,O,O
more,O,O
common,O,O
Type,B,B
I,I,I
C2,I,I
deficiency,I,I
.,O,O
To,O,O
determine,O,O
the,O,O
molecular,O,O
basis,O,O
of,O,O
Type,B,B
II,I,I
deficiency,I,I
the,O,O
two,O,O
Type,O,B
II,O,I
C2Q0,O,I
genes,O,O
were,O,O
isolated,O,O
and,O,O
transfected,O,O
separately,O,O
into,O,O
L,O,O
-,O,O
cells,O,O
.,O,O
Subsequent,O,O
molecular,O,O
biology,O,O
",",O,O
biosynthetic,O,O
",",O,O
and,O,O
immunofluorescence,O,O
studies,O,O
demonstrated,O,O
that,O,O
C2,O,B
secretion,O,O
is,O,O
impaired,O,O
in,O,O
Type,B,O
II,I,O
C2,I,B
deficiency,I,O
because,O,O
of,O,O
different,O,O
missense,O,O
mutations,O,O
at,O,O
highly,O,O
conserved,O,O
residues,O,O
in,O,O
each,O,O
of,O,O
the,O,O
C2Q0,O,B
alleles,O,O
.,O,O
One,O,O
is,O,O
in,O,O
exon,O,O
5,O,O
(,O,O
nucleotide,O,O
C566,O,O
-,O,O
-,O,O
>,O,O
T,O,O
;,O,O
Ser189,O,O
-,O,O
-,O,O
>,O,O
Phe,O,O
),O,O
of,O,O
the,O,O
C2Q0,O,B
gene,O,O
linked,O,O
to,O,O
the,O,O
MHC,O,O
haplotype,O,O
A11,O,O
",",O,O
B35,O,O
",",O,O
DRw1,O,O
",",O,O
BFS,O,O
",",O,O
C4A0B1,O,O
.,O,O
The,O,O
other,O,O
is,O,O
in,O,O
exon,O,O
11,O,O
(,O,O
G1930,O,B
-,O,I
-,O,I
>,O,O
A,O,O
;,O,O
Gly444,O,B
-,O,I
-,O,I
>,O,O
Arg,O,O
),O,O
of,O,O
the,O,O
C2Q0,O,O
gene,O,O
linked,O,O
to,O,O
the,O,O
MHC,O,O
haplotype,O,O
A2,O,O
",",O,O
B5,O,O
",",O,O
DRw4,O,O
",",O,O
BFS,O,O
",",O,O
C4A3B1,O,O
.,O,O
Each,O,O
mutant,O,O
C2,O,O
gene,O,O
product,O,O
is,O,O
retained,O,O
early,O,O
in,O,O
the,O,O
secretory,O,O
pathway,O,O
.,O,O
These,O,O
mutants,O,O
provide,O,O
models,O,O
for,O,O
elucidating,O,O
the,O,O
C2,O,O
secretory,O,O
pathway,O,O
.,O,O
.,O,O
Defective,O,O
dimerization,O,O
of,O,O
von,B,O
Willebrand,I,O
factor,O,O
subunits,O,O
due,O,O
to,O,O
a,O,O
Cys,O,B
-,O,I
>,O,O
Arg,O,O
mutation,O,O
in,O,O
type,B,O
IID,I,O
von,I,O
Willebrand,I,O
disease,I,O
.,O,O
The,O,O
same,O,O
heterozygous,O,O
T,O,B
-,O,I
>,O,I
C,O,I
transition,O,O
at,O,O
nt,O,O
8567,O,O
of,O,O
the,O,O
von,B,B
Willebrand,I,I
factor,O,I
(,O,O
vWF,O,O
),O,O
transcript,O,O
was,O,O
found,O,O
in,O,O
two,O,O
unrelated,O,O
patients,O,O
with,O,O
type,B,O
IID,I,O
von,I,B
Willebrand,I,I
disease,I,I
",",O,O
with,O,O
no,O,O
other,O,O
apparent,O,O
abnormality,O,O
.,O,O
In,O,O
one,O,O
family,O,O
",",O,O
both,O,O
alleles,O,O
were,O,O
normal,O,O
in,O,O
the,O,O
parents,O,O
and,O,O
one,O,O
sister,O,O
;,O,O
thus,O,O
",",O,O
the,O,O
mutation,O,O
originated,O,O
de,O,O
novo,O,O
in,O,O
the,O,O
proposita,O,O
.,O,O
The,O,O
second,O,O
patient,O,O
also,O,O
had,O,O
asymptomatic,O,O
parents,O,O
who,O,O
",",O,O
however,O,O
",",O,O
were,O,O
not,O,O
available,O,O
for,O,O
study,O,O
.,O,O
The,O,O
structural,O,O
consequences,O,O
of,O,O
the,O,O
identified,O,O
mutation,O,O
",",O,O
resulting,O,O
in,O,O
the,O,O
CyS2010,O,B
-,O,I
>,O,I
Arg,O,I
substitution,O,O
",",O,O
were,O,O
evaluated,O,O
by,O,O
expression,O,O
of,O,O
